geneID,name, asynchHits, T0,T01, T1,T11,T12, T2, T3,T31, T4, T5, T61, T65, T71, T8, T9, T10,T111,T121, totHits
DDB_G0272813,cdk1,549,255,188,942,476,2014,493,342,159,289,236,362,615,452,462,472,440,266,717,9729
DDB_G0271642,cks1,61,37,30,97,54,234,57,62,21,48,40,39,61,57,59,43,75,39,56,1170
DDB_G0274503,plk,236,111,70,340,189,803,171,162,63,104,85,143,263,201,160,198,179,111,211,3800
DDB_G0279343,aurK,78,49,32,161,81,322,93,56,20,45,29,59,74,60,62,40,60,29,71,1421
DDB_G0291133,DDB_G0291133,25,19,21,34,22,64,19,6,1,12,10,19,22,21,19,12,18,6,17,367
DDB_G0269684,DDB_G0269684,57,24,26,116,55,227,39,42,15,24,17,40,66,26,24,27,31,12,30,898
DDB_G0291842,DDB_G0291842,101,73,46,173,79,332,121,98,36,77,45,49,120,92,104,117,82,40,119,1904
DDB_G0275983,cdc6,7,6,12,14,10,34,3,1,1,4,3,9,9,2,5,4,5,2,8,139
DDB_G0267748,cdc45,134,89,53,263,140,605,135,106,45,86,49,88,156,123,107,100,78,46,117,2520
DDB_G0283073,orcA,31,24,11,49,21,109,23,23,8,15,11,22,49,23,36,30,18,9,35,547
DDB_G0269894,orcB,26,11,5,17,9,26,10,10,4,13,13,16,29,25,26,15,21,9,20,305
DDB_G0271078,orcC,36,19,11,45,23,122,23,20,5,25,15,41,45,24,33,24,21,7,28,567
DDB_G0271562,orcD,4,1,0,2,0,5,1,0,1,1,1,1,6,2,3,2,2,0,4,36
DDB_G0293214,orcE,9,7,6,14,14,30,7,8,2,7,5,13,19,4,12,4,1,3,6,171
DDB_G0284771,orcF,16,3,4,19,9,24,7,10,4,5,2,8,23,9,12,8,11,5,12,191
DDB_G0282677,spt16,795,324,246,917,449,1957,551,516,227,392,347,542,1100,769,638,704,570,323,686,12053
DDB_G0290331,ssrp1,416,175,120,459,249,954,291,258,92,239,189,263,476,343,313,289,288,160,430,6004
DDB_G0289271,gins1,5,4,2,10,5,22,3,3,0,2,0,6,8,3,6,2,3,2,5,91
DDB_G0293564,gins2,2,0,4,6,5,17,1,0,0,2,1,3,3,0,2,0,0,0,3,49
DDB_G0291506,gins3,5,6,4,12,5,27,4,0,0,1,4,4,4,8,3,2,5,0,6,100
DDB_G0269324,gins4,0,0,0,2,1,2,2,2,1,0,2,0,0,0,0,0,2,0,3,17
DDB_G0286623,mcm2,225,182,88,306,139,611,130,147,60,109,71,133,271,215,171,164,160,98,193,3473
DDB_G0280309,mcm3,109,72,46,145,63,252,52,55,24,42,29,50,94,80,72,103,78,52,102,1520
DDB_G0275623,mcm4,90,51,33,147,80,352,67,61,24,47,30,55,91,65,63,87,70,37,107,1557
DDB_G0292958,mcm5,158,78,58,238,139,540,110,96,45,68,40,83,189,129,133,145,103,64,141,2557
DDB_G0272760,mcm6,160,141,66,223,112,431,124,73,45,71,51,119,187,136,114,132,106,53,161,2505
DDB_G0282933,mcm7,163,147,94,166,95,446,103,103,61,79,53,85,152,122,131,124,120,55,148,2447
DDB_G0287103,DDB_G0287103,68,56,38,121,79,289,74,35,20,44,37,72,105,62,79,48,67,37,75,1406
DDB_G0284731,DDB_G0284731,20,20,10,39,11,61,11,12,4,13,10,27,38,18,20,14,18,7,20,373
DDB_G0282191,polA1,314,199,121,480,223,931,229,233,66,147,101,192,359,252,265,277,215,115,293,5012
DDB_G0282731,polA2,54,31,29,116,49,256,39,44,17,31,24,57,60,34,67,47,53,28,51,1087
DDB_G0270442,polA3,39,33,25,144,78,290,47,29,16,31,19,36,66,39,40,37,46,20,40,1075
DDB_G0285853,polA4,58,44,21,99,49,198,52,38,24,29,16,37,62,43,64,43,42,23,68,1010
DDB_G0285381,polD1,345,227,189,415,238,943,264,209,87,193,131,201,395,236,266,296,270,127,321,5353
DDB_G0281641,polD2,78,57,35,101,56,245,48,43,25,31,33,40,87,56,62,37,46,26,53,1159
DDB_G0294609,polD3,47,26,18,105,53,224,34,31,11,29,14,43,55,24,40,27,45,14,63,903
