geneID,name,hits11,hits12,hits41,hits42,hits81,hits82,hits121,hits122,hits161,hits162,hits201,hits202,hits241,hits242, totHits
DDB_G0272813,cdk1,63,24,144,444,217,465,391,474,199,382,31,132,74,181,3221
DDB_G0271642,cks1,1,8,6,41,58,134,105,180,49,110,9,37,16,34,788
DDB_G0274503,plk,5,4,8,15,62,186,207,391,146,311,5,28,8,16,1392
DDB_G0279343,aurK,4,1,2,7,17,46,93,109,74,138,8,12,3,6,520
DDB_G0291133,DDB_G0291133,0,2,4,14,30,78,55,95,27,62,4,20,17,18,426
DDB_G0269684,DDB_G0269684,7,2,0,6,15,58,98,151,60,99,7,14,2,8,527
DDB_G0291842,DDB_G0291842,765,320,93,224,208,838,896,1026,362,1350,146,655,167,511,7561
DDB_G0275983,cdc6,2,5,1,0,12,18,16,32,25,21,4,5,4,4,149
DDB_G0267748,cdc45,0,1,6,4,36,98,121,225,115,201,15,23,5,9,859
DDB_G0283073,orcA,10,0,8,21,14,58,26,61,31,53,29,75,31,53,470
DDB_G0269894,orcB,29,12,1,0,2,4,9,10,5,8,4,0,1,8,93
DDB_G0271078,orcC,2,6,1,11,31,65,75,121,56,86,8,13,10,18,503
DDB_G0271562,orcD,0,0,0,1,1,7,6,15,7,7,0,0,0,1,45
DDB_G0293214,orcE,1,2,12,41,57,46,93,48,38,25,9,25,24,22,443
DDB_G0284771,orcF,7,2,2,9,10,21,29,50,20,64,12,33,2,7,268
DDB_G0282677,spt16,340,278,167,499,318,957,732,1051,467,1381,156,706,276,900,8228
DDB_G0290331,ssrp1,172,46,28,94,112,409,238,345,124,341,25,126,39,102,2201
DDB_G0289271,gins1,1,0,0,0,2,5,6,10,4,11,0,3,1,1,44
DDB_G0293564,gins2,0,0,0,0,1,7,4,6,9,5,0,1,0,0,33
DDB_G0291506,gins3,0,0,0,7,5,7,18,30,17,11,12,11,9,11,138
DDB_G0269324,gins4,0,0,0,1,0,1,5,6,5,4,1,2,0,1,26
DDB_G0286623,mcm2,116,64,32,79,235,650,388,599,209,567,49,145,49,142,3324
DDB_G0280309,mcm3,1707,919,552,1288,172,530,527,584,908,2106,976,3202,1125,4430,19026
DDB_G0275623,mcm4,5,3,2,3,21,61,52,89,37,64,1,8,1,3,350
DDB_G0292958,mcm5,14,11,6,15,63,206,202,250,124,278,19,60,24,71,1343
DDB_G0272760,mcm6,33,9,6,14,26,105,118,174,51,137,5,22,2,16,718
DDB_G0282933,mcm7,4,3,2,14,76,203,172,273,101,206,2,20,2,11,1089
DDB_G0287103,DDB_G0287103,0,2,6,8,49,126,121,219,117,120,6,15,15,38,842
DDB_G0284731,DDB_G0284731,2,3,1,10,16,49,53,67,34,46,5,16,6,14,322
DDB_G0282191,polA1,13,4,3,24,144,463,347,594,212,515,30,77,26,73,2525
DDB_G0282731,polA2,5,2,4,12,41,110,77,149,65,116,4,19,4,17,625
DDB_G0270442,polA3,0,0,0,6,11,33,51,90,38,73,1,8,0,4,315
DDB_G0285853,polA4,1,1,0,5,11,40,27,66,28,57,2,8,1,4,251
DDB_G0285381,polD1,1,1,0,5,11,40,27,66,28,57,2,8,1,4,251
DDB_G0281641,polD2,5,5,2,14,35,77,72,102,43,84,30,81,23,62,635
DDB_G0294609,polD3,1,1,8,6,22,85,63,102,55,80,5,18,13,24,483
DDB_G0272158,wrnip1,32,56,10,19,36,130,103,140,36,100,3,15,9,23,712
DDB_G0283189,DDB_G0283189,4,2,19,39,181,381,354,564,337,506,59,147,68,186,2847
DDB_G0278367,DDB_G0278367,0,2,0,8,7,35,32,59,30,29,4,5,2,5,218
DDB_G0284987,repG,41,34,9,20,43,108,84,124,57,111,7,22,7,27,694
DDB_G0274493,lig1,12,13,15,35,86,214,229,356,203,336,62,137,120,253,2071
DDB_G0267916,mtmr15,0,2,4,9,21,29,33,55,35,44,5,10,9,10,266
DDB_G0270418,top2,116,67,17,42,169,524,196,494,225,344,176,302,61,281,3014
DDB_G0287607,pcna,100,120,23,47,113,354,421,540,247,495,23,64,13,49,2609
DDB_G0285961,rfc1,30,20,40,139,234,588,242,382,147,249,57,114,128,321,2691
