geneID,name, wtGrowth, rbKOGrowth, wtEarlyCulm, rbKOEarlyCulm, totWT, totrbKO
DDB_G0272813,cdk1,271,963,151,2010,422,2973
DDB_G0271642,cks1,66,122,22,139,88,261
DDB_G0274503,plk,237,567,101,548,338,1115
DDB_G0279343,aurK,45,131,0,149,45,280
DDB_G0291133,DDB_G0291133,9,50,15,103,24,153
DDB_G0269684,DDB_G0269684,35,77,11,80,46,157
DDB_G0291842,DDB_G0291842,76,240,234,1667,310,1907
DDB_G0275983,cdc6,1,7,3,25,4,32
DDB_G0267748,cdc45,55,303,34,389,89,692
DDB_G0283073,orcA,10,34,21,45,31,79
DDB_G0269894,orcB,19,38,3,8,22,46
DDB_G0271078,orcC,17,21,13,43,30,64
DDB_G0271562,orcD,0,7,1,15,1,22
DDB_G0293214,orcE,5,9,16,37,21,46
DDB_G0284771,orcF,13,31,14,33,27,64
DDB_G0282677,spt16,313,847,424,1230,737,2077
DDB_G0290331,ssrp1,223,559,59,450,282,1009
DDB_G0289271,gins1,2,8,1,19,3,27
DDB_G0293564,gins2,1,6,1,14,2,20
DDB_G0291506,gins3,2,10,4,16,6,26
DDB_G0269324,gins4,1,1,0,1,1,2
DDB_G0286623,mcm2,123,560,63,2148,186,2708
DDB_G0280309,mcm3,31,165,115,1737,146,1902
DDB_G0275623,mcm4,44,151,13,110,57,261
DDB_G0292958,mcm5,81,257,37,667,118,924
DDB_G0272760,mcm6,45,174,19,328,64,502
DDB_G0282933,mcm7,102,413,34,1172,136,1585
DDB_G0287103,DDB_G0287103,17,73,16,297,33,370
DDB_G0284731,DDB_G0284731,11,28,9,122,20,150
DDB_G0282191,polA1,161,810,80,2770,241,3580
DDB_G0282731,polA2,50,134,15,569,65,703
DDB_G0270442,polA3,34,110,11,218,45,328
DDB_G0285853,polA4,20,79,5,120,25,199
DDB_G0285381,polD1,138,644,73,1390,211,2034
DDB_G0281641,polD2,37,132,47,303,84,435
DDB_G0294609,polD3,17,61,12,134,29,195
DDB_G0272158,wrnip1,27,126,26,388,53,514
DDB_G0283189,DDB_G0283189,37,280,109,1617,146,1897
DDB_G0278367,DDB_G0278367,6,25,8,56,14,81
DDB_G0284987,repG,30,94,14,268,44,362
DDB_G0274493,lig1,151,557,91,2637,242,3194
DDB_G0267916,mtmr15,9,42,10,70,19,112
DDB_G0270418,top2,248,1302,147,1711,395,3013
DDB_G0287607,pcna,410,2192,95,1210,505,3402
DDB_G0285961,rfc1,146,327,72,407,218,734
DDB_G0291868,rfc2,66,275,11,294,77,569
DDB_G0293702,rfc3,53,169,20,143,73,312
DDB_G0286027,rfc4,45,143,8,296,53,439
DDB_G0282235,rfc5,15,31,7,54,22,85
DDB_G0281907,DDB_G0281907,10,42,8,123,18,165
DDB_G0267904,DDB_G0267904,65,314,34,911,99,1225
DDB_G0272758,DDB_G0272758,19,73,44,261,63,334
DDB_G0271400,dcc1,8,41,2,66,10,107
DDB_G0287975,DDB_G0287975,1,10,0,15,1,25
DDB_G0280397,DDB_G0280397,13,99,12,275,25,374
DDB_G0284281,DDB_G0284281,11,32,28,166,39,198
DDB_G0278935,rad18,8,10,8,41,16,51
DDB_G0275809,msh2,69,200,31,394,100,594
DDB_G0281683,msh3,130,551,49,353,179,904
DDB_G0268614,msh6,128,453,78,692,206,1145
DDB_G0270764,myh,11,19,8,87,19,106
DDB_G0279923,apnA,27,91,28,472,55,563
DDB_G0289513,rfa1,198,936,87,1311,285,2247
DDB_G0273139,rad51,128,595,148,495,276,1090
DDB_G0276073,recA,53,144,15,25,68,169
DDB_G0269406,rad52,27,164,14,84,41,248
DDB_G0279167,topbp1,21,65,270,225,291,290
DDB_G0274525,rad9,46,159,27,151,73,310
DDB_G0285353,hus1,4,16,1,34,5,50
DDB_G0269378,rad1,26,57,26,21,52,78
DDB_G0292504,rad17,12,27,42,48,54,75
DDB_G0291380,atr1,55,148,71,57,126,205
DDB_G0293656,fhkA,1,15,2,31,3,46
DDB_G0286539,DDB_G0286539,19,70,19,87,38,157
DDB_G0286539,DDB_G0286539,19,70,19,87,38,157
DDB_G0274473,DDB_G0274473,5,13,1,3,6,16
DDB_G0287899,rif1,11,68,11,266,22,334
DDB_G0279667,H2AX,2396,3665,1556,5201,3952,8866
DDB_G0278203,xrcc4,2,3,0,11,2,14
DDB_G0292760,lig4,13,42,7,61,20,103
DDB_G0281229,pnkp,185,541,45,92,230,633
DDB_G0293866,DDB_G0293866,5,9,12,73,17,82
DDB_G0293546,mre11,40,88,6,44,46,132
DDB_G0291750,mnd1,5,12,1,8,6,20
DDB_G0280989,hop2,9,20,3,3,12,23
DDB_G0279195,adprt1B,114,497,35,159,149,656
DDB_G0292820,adprt2,102,252,45,142,147,394
DDB_G0274389,pARTf,116,348,71,356,187,704
DDB_G0289141,pART,501,1448,198,250,699,1698
DDB_G0278229,DDB_G0278229,65,136,24,165,89,301
DDB_G0284071,rnrA,947,5599,962,17903,1909,23502
DDB_G0272616,rnrB-1,53,211,95,1182,148,1393
DDB_G0271914,DDB_G0271914,2,20,5,12,7,32
DDB_G0288019,DDB_G0288019,50,142,81,342,131,484
DDB_G0280045,thyA,644,916,179,1401,823,2317
DDB_G0289179,thyB,1641,3614,661,422,2302,4036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0290033,dtymk,9,20,3,23,12,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0274527,DDB_G0274527,2,12,2,1,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0274161,DDB_G0274161,1,1,1,13,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0285319,H1,5337,17536,6075,30139,11412,47675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0293758,H2Bv1,306,779,65,99,371,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0267402,H3a,2155,4144,6054,15348,8209,19492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0270838,H3b,90,250,37,103,127,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0271092,H3c,2,2,2,7,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0277183,H4a,294,408,187,295,481,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0276863,H4b,847,1809,486,907,1333,2716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0274269,DDB_G0274269,1,11,5,138,6,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0282529,rbbD,156,525,28,973,184,1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
